service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
315,0,0,0,0,0,1,0,20250315,20251213
364,0,0,0,0,0,0,0,20251006,20251008
367,0,0,0,0,0,0,0,20251028,20251029
347,0,0,0,0,0,0,0,20250609,20250611
149,0,0,0,0,1,0,0,20250307,20251212
167,0,0,0,0,0,0,0,20250324,20250326
130,1,0,0,0,0,0,0,20250317,20250317
350,0,0,0,0,0,0,0,20250630,20250702
150,1,1,1,1,1,1,0,20250306,20251213
164,1,1,1,1,1,1,0,20250306,20251213
333,1,1,1,1,0,0,0,20250306,20251211
316,0,0,0,0,0,1,0,20250315,20251213
147,1,1,1,1,1,1,0,20250306,20251213
165,1,1,1,0,0,0,0,20250310,20250312
334,1,1,1,1,1,1,0,20250306,20251213
365,0,0,0,0,0,0,0,20251013,20251015
317,0,0,0,0,0,0,0,20250510,20250510
348,0,0,0,0,0,0,0,20250616,20250618
148,1,1,1,1,0,1,0,20250306,20251213
331,0,0,0,0,0,0,1,20250316,20251207
314,0,0,0,0,0,0,0,20250420,20250420
163,1,1,1,1,1,1,0,20250306,20251213
332,1,1,1,1,1,1,0,20250306,20251213
166,0,1,1,0,0,0,0,20250318,20250319
366,0,0,0,0,0,0,0,20251020,20251022
349,0,0,0,0,0,0,0,20250623,20250625
161,0,0,0,0,1,0,0,20250307,20251212
361,0,0,0,0,0,0,0,20250915,20250917
338,1,1,1,1,1,1,0,20250306,20251213
152,0,0,0,0,0,0,0,20250505,20250505
327,0,0,0,0,0,1,0,20250308,20251213
318,0,0,0,0,0,0,1,20250309,20251207
336,1,1,1,1,1,1,0,20250306,20251213
313,0,0,0,0,0,0,1,20250309,20251207
370,0,0,0,0,0,0,0,20251117,20251119
93,0,0,0,0,0,1,0,20250308,20250308
170,0,0,0,0,0,0,0,20250407,20250409
311,0,0,0,0,0,1,0,20250308,20251213
368,0,0,0,0,0,0,0,20251103,20251105
168,0,0,0,0,0,0,0,20250331,20250402
354,0,0,0,0,0,0,0,20250721,20250723
159,0,1,1,1,1,0,0,20250306,20251212
145,1,1,1,1,1,1,0,20250306,20251213
345,0,0,0,0,0,0,0,20250526,20250528
363,0,0,0,0,0,0,0,20250929,20251001
154,0,0,0,0,0,0,0,20251027,20251027
352,0,0,0,0,0,0,0,20250714,20250716
143,1,1,1,1,1,0,0,20250306,20251212
329,0,0,0,0,1,0,0,20250307,20251212
320,0,0,0,0,0,1,0,20250308,20251213
343,0,0,0,0,0,0,0,20250512,20250514
324,1,1,1,1,1,1,0,20250306,20251213
158,1,0,0,0,0,0,0,20250310,20251208
358,0,0,0,0,0,0,0,20250825,20250827
155,1,1,1,1,0,0,0,20250306,20251211
255,0,0,0,0,0,0,1,20250309,20250309
341,0,0,0,0,0,0,0,20250428,20250430
359,0,0,0,0,0,0,0,20250901,20250903
307,0,0,0,0,0,0,0,20250525,20250525
322,1,1,1,1,1,0,0,20250306,20251212
156,0,0,0,0,0,0,1,20250309,20251207
342,0,0,0,0,0,0,0,20250506,20250507
356,0,0,0,0,0,0,0,20250811,20250813
141,0,0,0,0,0,0,1,20250309,20251207
373,0,0,0,0,0,0,0,20251208,20251210
339,1,1,1,1,0,1,0,20250306,20251213
142,0,0,0,0,0,0,0,20250804,20250804
357,0,0,0,0,0,0,0,20250818,20250820
139,1,1,1,1,1,0,0,20250306,20251212
308,0,0,0,0,0,0,0,20250809,20250809
325,1,1,1,1,1,1,0,20250306,20251213
122,0,0,0,0,0,1,0,20250308,20251213
309,0,0,0,0,0,0,0,20250810,20250810
140,0,0,0,0,0,0,0,20250418,20250418
372,0,0,0,0,0,0,0,20251201,20251203
340,0,0,0,1,1,1,0,20250306,20251213
306,0,0,0,0,0,0,0,20250526,20250526
323,1,1,1,1,1,1,0,20250306,20251213
157,1,1,1,1,1,0,0,20250306,20251212
355,0,0,0,0,0,0,0,20250805,20250806
92,0,0,0,0,1,0,0,20250307,20250307
169,0,0,0,0,0,0,0,20250414,20250416
344,0,0,0,0,0,0,0,20250519,20250521
146,1,1,1,1,1,0,0,20250306,20251212
335,1,1,1,1,1,1,0,20250306,20251213
321,0,0,0,0,0,0,0,20250426,20250426
144,1,1,1,1,1,0,0,20250306,20251212
353,0,0,0,0,0,0,0,20250728,20250730
330,0,0,0,0,0,0,0,20250509,20250509
319,0,0,0,0,0,0,0,20250323,20250323
310,0,0,0,0,0,0,0,20250811,20250811
362,0,0,0,0,0,0,0,20250922,20250924
153,0,0,0,0,0,0,0,20250602,20250602
305,0,0,0,0,0,0,0,20250524,20250524
328,1,1,1,1,0,1,0,20250306,20251213
171,0,0,0,0,0,0,0,20250422,20250423
162,1,1,1,1,0,1,0,20250306,20251213
371,0,0,0,0,0,0,0,20251124,20251126
337,1,1,1,1,1,1,0,20250306,20251213
351,0,0,0,0,0,0,0,20250707,20250709
294,0,0,0,0,0,0,1,20250316,20250316
326,0,0,0,0,0,0,1,20250309,20251207
160,0,0,0,0,1,1,0,20250307,20251213
346,0,0,0,0,0,0,0,20250603,20250604
312,0,0,0,0,0,0,0,20250419,20250419
360,0,0,0,0,0,0,0,20250908,20250910
369,0,0,0,0,0,0,0,20251110,20251112
151,0,0,0,0,0,0,0,20250421,20250421
